Area,yearid,Processtype,CO,NOX,SO2,NO2,CO2EQ,VOC,PM10,PM25,BENZ,NAPTH,BUTA,FORM,ACTE,ACROL,ETYB,DPM,POM
Fort Worth,2022,Extnd_Exhaust,89.2789916624315,208.703825845441,0.0546813001856208,71.8747498671146,9743.33984375,31.6424931939691,1.03628620365635,0.953380772843957,0.376691626290267,0.471366494442918,0.0384843316569459,6.01354765688302,1.9829903011705,0.295415299366141,0.17667808817987,1.03628620365635,0.0533285023657459
Fort Worth,2023,APU,36.0000003576279,28.1391473412514,0.0129717999370769,1.60393185727298,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Fort Worth,2023,Extnd_Exhaust,89.2561500675511,208.516709180971,0.0546338501153514,73.4583111517022,9748.99998474121,31.3039560059551,0.970099881989881,0.892489558085799,0.375360120255209,0.470203896244129,0.0369440638887681,6.02337451578933,1.97975475041312,0.294054675439838,0.176730301944644,0.970099881989881,0.0517255920828793
Fort Worth,2024,APU,36.0000003576279,28.151732981205,0.0129717999370769,1.60464923456311,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Fort Worth,2024,Extnd_Exhaust,89.2333084726706,208.3295925165,0.054586400045082,75.0418724362899,9754.66012573242,30.9654189660214,0.903913560323417,0.831598466262221,0.374028614220151,0.46904129804534,0.0354037966462784,6.03320137469564,1.97651919965574,0.292694051513536,0.176782515756713,0.903913560323417,0.0501226818000127
Fort Worth,2025,APU,36.0000003576279,28.1599289476871,0.0129717999370769,1.60511640459299,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715443574043
Fort Worth,2025,Extnd_Exhaust,89.2096840561717,207.984566388943,0.0545222503133118,76.0011891635627,9764.87012481689,30.4475210397504,0.805372735485435,0.740941232070327,0.372024888712076,0.467309760403623,0.0330339042332071,6.04913416976342,1.97178761635951,0.290634886424414,0.176886050780013,0.805372735485435,0.0476632630609001
Fort Worth,2026,APU,36.0000003576279,28.1681249141693,0.0129717999370769,1.60558357462287,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715393351745
Fort Worth,2026,Extnd_Exhaust,89.186059643398,207.639540261385,0.0544581005815417,76.9605058908355,9775.08012390137,29.9296231134795,0.706831910647452,0.650283997878432,0.370021163204001,0.465578222761906,0.0306640199873982,6.0650669648312,1.96705603306327,0.288575721458983,0.176989585803312,0.706831910647452,0.0452038443217875
Fort Worth,2027,APU,36.0000003576279,28.1719321012497,0.0129717999370769,1.60580058023334,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715443574043
